tekst;gericht aan;score;elderspeak (handmatig);correct (threshold: 0,5);;;;
Hey Peter Wat dacht je van een dagje naar zee een dagje naar Oostende bijvoorbeeld Dan kunnen we je moeder te zoeken wanneer je een pakket mee En zwemgerief en we gaan ook een keer gaan zwemmen in het zwembad van Oostende We reden uiteraard met Tesla dat was gewoon top Zullen we;leeftijdsgenoot;0,003;0;1;;aantal:;30;
economie Ik wil morgen met je naar de zee Ik wil het liefst naar het zwembad gaan Misschien kunnen we daar met de auto gaan aan de bak met de auto om uur of 11 rijden we 40 minuten en dan moeten we even kiezen of naar de Belgische Swim Canton Nederland Nederlandse is makkelijk te bereiken met de auto dus misschien daarheen Wat vind je van het idee Ga je mee;leeftijdsgenoot;0,376;1;0;;correct (threshold 0,5):;18;60%
dag oma kan je morgen met ons mee naar de zee We komen je halen met de auto vertrekken om 9 uur Vergeet je zwempak niet mee te nemen want we gaan samen zwemmen in het zwembad van Oostende Natuurlijk gaan we ook iets lekkers eten en iets een lekkere koffie gaan drinken Pietje op om 9 uur Zorg dat je er bent oma;oudere;0,985;1;1;;;;
Ik heb een idee Gaan we morgen naar de zien dat ik heb daar wel Alleen ik heb er wel zin in dus een mooi weer en het gaat mooi weer zijn eventueel Oostende dat is niet zo ver met de trein en dan kunnen we 's Avonds gaan eten en een fles wijn delen dan moeten we ons geen zorgen maken over nog kunnen toch dacht eventueel op het strand zitten en muziek luisteren je box mee want die is beter tegen Sam bestaande meenemen en kunnen gaan winkelen ik heb nog iets nodig voor de Trouw van Arno en ik weet Ja wat foto's nemen dus misschien ook een fototoestel mee als niet geeft hè Zie je dat zetten;leeftijdsgenoot;0,006;0;1;;;;
dag oma Heb je zin om met mij mee naar de zee gaan morgen hoeft helemaal niks mee te nemen Ik zal alles voor je inpakken we ook met de auto Hoeveel uur of 11 Als je dat ziet zitten en dan gaan we naar het zwin waar je altijd heel graag heen wilt en Dan brengen we gewoon 's avonds weer thuis Zeg maar als je dat wil Oké dag;oudere;1;1;1;;;;
Ik zal morgen naar de zee gaan we graag mee anders kunnen we samen rijden en goede wel oppikken Ik zou graag vrij vroeg vertrekken misschien dan anders Rond 8 uur pas om 9 uur aan Zee en kunnen we daar ontbijten of ergens gaan lunchen en dan nog een lange wandeling maken en dan iets eten en dat ik op dit terugkeren want ik moet de kinderen ophalen in de crèche Laat maar weten of u past en voor mij maakt badplaats niet gedacht dan aan die poort nog gezellig daar kunnen daar ook een wandeling maken misschien werken maar ik wil iets anders gaan dus laat maar weten wat dat voor u passen en hopelijk tot morgen dag;leeftijdsgenoot;0,001;0;1;;;;
dag Moeke zeg Kijk ik een voorstel morgen in plaats van nou weer een heel de dag binnen zitten Sorry geniet met je mee willen laten zien esaki kruiden want de trein Dan gaat niet meer lukken naam is Nee hebt Ik zal ik rijden en we zullen we weer naar Zeebrugge gaan dat is niet zo ver kunnen onderweg wel stoppen voor de wc te gaan En als ik zal ik rijden moeten eerst maar meenemen mijn medicatie en dan zeg ik dat anders maar mee want anders als het verlies we kunnen tassen koffie drinken en zitten op de dijk en wit gekeken en dat de mensen en kunnen dan is een tweede schnitzel en moeke Mooren anders is goed Ja dus;oudere;0,16;1;0;;;;
schat niet dat krokusvakantie is wil ik graag met de kinderen naar zee met de auto naar Nieuwpoort rijden dus dat het plezant kunnen we toch ook doorrijden of een ijsje gaan eten wat denk jij dat we om 9 uur vertrekken dan zijn we om een uur of 10 10:30 daar kunnen we gaan toch vandaag van maken en ook meedoen en dan iets gaan eten denk ik hè ik zal zien omdat je te reserveren;leeftijdsgenoot;0,008;1;0;;;;
M morgen bij ons mee met de kinderen naar de zee Nieuwpoort gaan ja het is wel best handig joh dat aanvulling op de muur of 8:45 komen halen want jij zit toch altijd vroeg op en alles eens te laat gaan eten Ik hoor je morgen alles hè;oudere;0,005;1;0;;;;
kijken naar de zee zou gaan en niet te gaan Ik wil jou oppikken bij vroeg vertrekken 's morgens dus misschien in koffie kan drinken en misschien een boterham eten en dan vertrekken anders pik ik je op zo rond een uur of 9 en voor mij maakt het niet uit waar dat we gaan Ik weet dat je graag naar de Nieuwpoort gaat daar vorige keer een zonnig terras en koffie samen hebben gedronken nog Laat maar weten of dat dat goed is voor u en Als je vragen hebt mag je ook mee werken en dan dan spreken we verder af dag;oudere;0;0;1;;;;
